stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,0,0.85,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,1.97,0.28,8.17,0,0.28,0.28,0,110.77,1.97,0,0,2.54,0,0,1.41,0,0,0,0,0
21Day,1.85,0.37,0,0.74,0,2.22,0,0,0,0,0,0.74,0,0.74,0,0,1.11,0.37,19.61,0,0,9.25,0,47.73,2.96,0,0.37,3.7,1.48,1.85,0,1.11,0,0,0,0
3Month,0.42,4.99,0,6.87,0.21,0,0.1,0.42,1.04,1.87,0,3.02,1.56,0.1,1.35,0.42,1.98,0.62,42.23,4.68,0,5.2,0.42,2.6,0.42,0.1,2.18,0.42,0.42,59.29,0.1,0,0.31,0.94,6.45,0.62
22Month,0.55,2.05,0.14,0.96,0,0,0.27,0,0.27,0.82,0.41,7.24,0.41,0,0.41,0,0.14,0.68,36.76,0.14,0.68,4.1,0,1.64,0.27,0.41,2.32,0.82,0,17.22,0.27,0,0,0.14,0.14,0.14
