stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0
72hpf,0,0,0,1.97,0,0,0,0,0,0.28,0,0.85,0,1.69,0,0,5.92,5.36,0.28,0,0,0.28,0.28,0
21Day,0.37,0,0,1.85,0.37,0,0,0,0,0.74,0,1.11,0,2.59,0,0.37,2.22,1.85,0.74,0.74,0,0,0,0
3Month,0,0.1,0.1,2.29,0,0.1,0,1.46,0.21,0.42,0.1,0.83,0,1.25,0.21,0.1,0,0,0.1,0.1,0.31,0,0,0.1
22Month,0,0.14,0,0.27,0,0.14,0.14,2.19,0,0.41,0.14,0,0.41,0.41,0,0,0,0,0,0,0,0,0,0
