stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.28,2.25,0.85,0,0,0,0,0,0,0,0,0.85,0,12.97,0,4.51,1.69,0,0,1.41,0,0,0.56,0.28,0,0,0,0
21Day,1.11,0,1.48,0.74,1.11,0.37,0,0,0.74,0,0,0,0,1.11,0,11.1,0.37,2.59,1.11,0,0,1.48,0.74,0,0,0,1.48,0,0,0
3Month,0,0,0.42,0.1,0,0,0,0.1,0.42,0,0,0,0.1,0.1,0.21,0.42,0,0,0,0,0.21,0.1,0.1,4.99,0,0,0,0.21,1.14,0.21
22Month,0,0,0.27,0,0,0,0.14,0,2.32,0.14,0.14,0.41,0,0,0,0.41,0,0,0,0.14,0,0,0.14,1.64,0,0.14,0,0,0,0.14
