stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0.28,0.28,0,0
3Month,0,0.1,0,0.1,0,0.1,0,0.83,0,0.1,0.42,0.1
22Month,0.14,0.14,2.46,0.14,0.14,0,0.14,0,0,0,0,0
