stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,3.1,1.69,0,0,0,0.28,0,0
21Day,0.74,0,1.85,0,0.74,0,0.37,0,0,0,1.11,0.37,0.37,0.37,0,1.48,0,0.37,0,2.59,1.11,1.48,0,0,0.74,0,0.37
3Month,0,0,0.52,0,0,0,0,0.1,0,0.1,0,0.21,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0.83,0,0.21,0
22Month,0,0.14,0.68,0,0,0.27,0,0,0.41,2.32,0.27,0.55,0,0,0.55,0.55,0.14,0.41,0,0,0,0,0,0.41,0,0,0.27
