stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0.28,0,9.02,0.28,0,0,0,1.97,0,0,0.28,0,0,0,0,0
21Day,0,0.74,0,12.21,0.37,0.37,0,0,0,0,0,0.37,4.07,0,0,4.81,0.74,0,0,0.37,0,5.18,0.37,0,0.74,0,0,1.11,0,0.37,0.37,0.74,0,0,0
3Month,0.73,2.5,0,31.52,0,0,1.04,0.83,0.62,0,1.25,0.31,0.21,0.73,0.31,26.32,0.62,0.73,0.42,0.1,0.1,0.31,0,0.1,1.66,0,0,0.21,0.21,0,0.1,0,0.42,3.02,0.62
22Month,0,2.32,0.27,7.65,0,0,1.37,0.14,0.14,0,3.42,0,0,0,0,9.16,0,0.27,0,0,0,0,0,0.14,2.05,0.14,0.27,0,0.14,0,0,0,0,0,0.27
