stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,3.1,0,0.28,0,0,0,0,0,0,0,1.13,0,0,0,0,0.56,0,1.97,0.56,0,0,0.28,0,0,0
21Day,0,0,0,9.62,2.22,0,1.11,0,0,0,0,0.37,0,0,4.44,1.48,0.37,0,0,0.74,0,2.59,0.37,0.37,0,0,0.37,0,0
3Month,0.1,0.1,0.31,52.63,0,0.1,0,0.1,0,2.29,0.52,0,0.73,0.42,5.2,0.73,0.94,0.1,0.1,0.62,0.31,0.21,1.56,0.31,1.66,0,0,3.12,0.52
22Month,0,0.14,0,4.51,0,0,0,0,0.14,3.42,0,0,0.41,0,0.14,0.27,0.27,0,0,0,0,0,0.55,0.14,0.14,0,0,0,0.14
