stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0.74,0,0,0,0,4.81,0.37,0,0.37,0,0.74,0.37,0,0,0
3Month,0,0.1,0,1.56,0.1,0.31,3.02,0.1,0.1,0.1,0.1,0,0.31,0.1,0.31,0.42
22Month,0.14,0,0.14,0.68,0.82,0,4.78,0,0,0.14,0,0,0,0,0.14,0
