stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.97,0,0.28,5.92,0.28,0,0,0.28,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0
3Month,0.1,0.31,0,0,0.31,0.31,0,0.1,0.1,0.21,0.21,0,0,0,0,0.1,0.31,0,0.1,0
22Month,0.27,0.14,0,0.27,2.19,0,0.14,0,0,0,0,0.14,0,0,0,0,0.68,0,0,0.27
