stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,0,0,3,41,0,1,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,3.95,0,0,0,24.52,14.66,0,1.41,0,0,1.41,0.28,0,0,0
21Day,1.85,0,0,5.92,0,1.48,0,0.74,0,0,0,0,0,4.07,0,0.37,0.74,0.37,5.18,0,0,0,7.4,3.7,0,0.37,0.74,0.74,0.37,0,0,0,0.37
3Month,0.21,0.1,0.1,2.91,0,0,0.1,0.21,0,0,0,0.62,0.21,1.25,0.31,0.1,0.31,0.73,1.77,0.1,0,0.1,0.21,0.1,0,0,0,3.33,0,0,0.21,0.31,0.52
22Month,0,0.14,0,0.82,0,0,0,0.14,0.14,0.27,0.27,1.5,0,0.55,0.27,0,0.14,0.68,0,0,0.14,0,0,0,0.14,0,0.14,2.6,0,0.27,0,0,0.27
