stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0,0,0,12.58,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0.37,0,0,1.48,0,0.37,0,0,0
3Month,0.1,0.1,0.31,1.46,0.1,0,0.21,0.1,0.42,0.21,0,30.27,0.42,0.1,2.5,0.21,0.21,0.31,0.62,0.1,0.21,0.1,0.31,0.1,0,0.1,0.21,0.1,0.21,0.1,0.1,0.1,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0.41,0.14,38.81,0.14,0,1.23,0,0.27,0.14,0.82,0,1.09,0,0,0,0,0,0,0,0.14,0,0.27,0,0.27
