stage,Epithelial_cell,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,2,0,1,0,0,0,0,0,5,0,0,0,0
72hpf,0,0.28,0,0,0,0,0.28,0.85,0.85,0,0.28,0,0
21Day,0,0,0,0,0,0,0.37,1.48,0,0,0.37,0,0
3Month,0.21,0,0,0.21,0.1,0.1,0,0,0,0.21,0,0.21,0.1
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0,0
