stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.94,17.47,0,1.56,0.42,0.42,0.1,0,0.1,0.1,0,0,0.1,0.1,0.21,0.21
22Month,0.14,0,7.79,0.14,1.5,0.27,5.33,0,0.14,0.55,0,0,0.14,0,0.14,0,0.14
