stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0.28,0,0,0,0,0,2.54,0,0.85,0,1.69,0,3.66,0.28,0,3.1,0.56,0,0,1.69,0,0,0.28,0,0,0,0,0
21Day,1.11,0,1.11,1.85,0.37,0.74,0,0,0,0,11.47,0,0.37,2.22,0,1.48,0,1.48,0,0,0,0.74,0.74,1.11,0,0,0.74,1.11,0,0,0,0.37,0,0,0.37
3Month,0.1,0.94,2.18,12.59,0.1,0,0.31,0.21,1.87,3.64,62.31,3.85,0.42,27.25,1.56,2.7,2.18,4.26,0.94,0.21,0.73,235.39,0.52,0.1,0.52,0.42,0.1,2.6,5.1,0.1,0,0,0.73,1.77,2.6
22Month,0,0.68,0.82,1.91,0.14,0,0.55,0,0.41,1.78,417.6,0,0,8.61,0.14,0.14,1.91,2.05,0.27,7.79,0.14,6.7,0,0.27,0.14,0.41,0,1.09,1.91,0.27,0.14,0,0.14,0,0.41
