stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,1,0,1,20,0,0
72hpf,0.28,0,0.28,0,0,0,0.56,0,0,0.28,0.28,0
21Day,0.37,0,0,0,0,0,1.85,0.37,0,0.37,0,0
3Month,0,0.21,0,0.1,0.1,0.1,0.1,0,0,0,0,0
22Month,0,0,0,0,1.37,0.27,0.14,0,0,0,0,0.14
