stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,22,0,0,0,0,0,0,0,3,0,0,0,0,1,11,3,11,0,0,0,0,3,37,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.13,0.28,0,0.85,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0.85,2.54,0.85,2.25,0,0,0,0,4.79,2.54,0,0,2.54,0,0,0.85,0,0,0,0,0,0
21Day,1.11,0.37,0,4.07,0,1.85,0,0,0,0,0,0,0.37,0,0.74,0,0.37,1.11,1.48,4.44,0,0,1.11,0,2.59,0.74,0,0,1.11,0,0,0,0,0.37,0,0,0,0
3Month,0,0.52,0.83,27.88,0.31,0,0,0.1,7.28,1.56,0.1,0,28.71,4.58,0.21,14.67,1.98,11.96,3.64,4.16,0.52,0.1,2.6,1.77,0.94,0.1,1.46,0.62,0.31,0.62,1.46,0.21,0,0,0,1.56,0.42,2.18
22Month,0,1.91,0.27,9.84,0,0,0.14,0,2.05,4.78,5.19,0,32.66,1.91,0.82,5.88,0.82,1.78,3.42,1.64,0.14,0.55,1.91,0,0.41,0,2.05,0.41,0,0.41,0.14,0.82,1.91,0,0.14,0.27,0,0.82
