stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.97,0.56,0.56,0,0.28,0,0,0,0,0,0,0,0.85,0.85,0,1.97,0,0.56,0.28,10.43,7.89,0,0,2.82,0,0,0.85,0.85,0.28,0.28,0,0
21Day,1.85,0,0,4.07,0,0.74,0,0.74,0,0,0,0.37,0,1.11,0.74,0,2.59,0,2.59,0,0,0.74,2.22,1.85,0,0,1.85,0.37,0.37,0.37,2.96,0.74,0.37,0,1.11
3Month,0,0.21,0.1,1.98,0,0,0.1,0.1,1.77,0.73,0,5.93,0.62,0,1.35,0.31,0.31,1.14,0.21,0.21,0,0.21,0.21,0.21,0.1,0,0,0.1,4.06,0,0,0,0,0.31,1.04
22Month,0,0,0,0.27,0,0,0,0.27,0.82,4.65,0.41,9.84,0.27,0.41,1.09,0,0.14,1.09,0.96,0,0.14,0,0.14,0.14,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0.14
