stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,3,0,0,0,0,0,0,0,0,1,1,8,1,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0.56,0,0.28,1.41,0.28,0,0,0,0,1.13,0,0
21Day,0,5.92,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0.37,0,4.07,14.8,0.37,0
3Month,0,0.21,0.1,0,0.1,0.21,0.1,0,0.21,0.1,0,0,0.1,0,0.31,0,0,0,0.1
22Month,0,0,0,0.14,1.09,0,0.14,0,0.27,0,0,0,0,0,0.55,0.14,0,0,0
