stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,1.11,0.37,0,0.37,0,0
3Month,0.1,0.42,0.1,0.21,0.1,0.94,0,0.1,0,0.42,0,0.1,0.1,0,1.46,2.7
