stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0.1,0.52,0.1,1.46,0.31,0.1,0.1,0.1,0,0,1.14,0.21
22Month,0,0,0,2.05,0.82,0,0,0,0,0,0.27,0
