stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0.28,0,0.28,0.28,0,0,1.97,0.28,3.1,0,0.28,0.56,0.56,0,0
21Day,0,0,0,0,1.85,0,0,0.74,0.37,0.74,0,0,0,1.48,0,0
3Month,0.1,0,0.1,0,0.83,0.1,0.21,0.52,0,0.1,0.31,0,0,0,0.1,0.52
22Month,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0,0
