stage,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0
3Month,0,0,0,0.21,0,0,0,0.1,0.1,0.1
22Month,0.14,0.14,0,0.55,0.14,0.14,1.09,0,0,0.14
