stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,11,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0.85,0,20.57,1.13,0.28,0,0,0,0,0,0,0,0.28,1.97,0,0.85,0,0,1.13,1.13,0.85,0,0,0.28,0,0,0,0
21Day,4.81,0.37,5.18,0.74,0.74,0,0,0.37,0,0,0,0,0,0.37,0,2.22,0,0,0.37,0.37,1.11,0.37,0.37,0,0.37,0,0,1.11
3Month,0,0,5.41,0,0,0.31,0.21,0,1.14,0.31,0.21,0.21,0,1.46,0.1,0.21,0.1,0.1,0.1,0.21,0,0,2.5,0,0,0.1,0.73,0.42
22Month,0,0,1.5,0,0,0.14,0,0.41,1.91,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0
