stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,4.07,0.74,0.37,0,0,0,0
3Month,0,0,0.52,0.1,0,0.1,0.1,0.1,11.96,0,0,0.1,0.1,0.1,0.21
22Month,0.14,0.14,1.23,0,0.14,0,0,0.55,9.7,0,0,0,0,0,0
