stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,1.66,0.1,0.42,0.52,0.1,3.22,0.31,0,3.64,0.31,23.72,10.92,2.29,0,0.31,0.73,0.1,0,0,0,0.52,0.42,0,0.21,0.1,0.31
22Month,0,0.14,0,0.82,0,0.14,0.27,0.41,16.67,0.27,0.27,1.37,0,23.78,0.82,0,0.55,0.27,0,0,0.14,0.14,0.14,0,0,0.14,0,0,0.68
