stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0,0.56,0,0,0,0,0,0,0,0,0,0,1.13,2.54,0,2.25,0,0,0,0,12.4,4.51,0,0,2.25,0,0,0.85,0,0,0,0,0
21Day,0.37,0.37,0,4.07,0,3.33,1.48,0,0,0.74,0,0,0.74,0,1.48,2.22,0.74,2.22,0.37,2.22,0,0,0.37,0,8.51,1.48,0,0,0.37,0.74,0,1.11,0,0.37,0,0,0
3Month,0.1,0.73,0.31,12.48,0.1,0,0,0.1,0.83,1.04,0,0,7.91,0.94,0.21,8.32,0.83,3.54,1.87,1.35,0.1,0.1,0.62,1.77,0.21,0.1,0.31,0.1,0.21,0.62,3.85,0.1,0,0,0.83,13.11,0.83
22Month,0,1.37,1.09,3.69,0,0,0,0,0.96,4.24,0.68,0,20.77,1.23,0.68,6.42,0,0.14,2.73,2.6,0,0.82,0.14,0,0.41,0,0.41,0.27,0.27,0,1.09,0,0.14,0,0.14,0.14,0.27
