stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.13,0,1.13,0.56,1.97,0,0,0,0,0,0,0,0,0.56,1.97,0.85,1.97,0,0.56,0,216.74,9.3,1.41,4.51,0,1.69,0.28,0,3.1,0,0,0.56,0,0,0
21Day,1.85,0.37,0.37,4.07,0,1.85,0.37,0,0,0,1.11,0,0.74,0,0,1.48,0.37,2.96,0,0,1.48,96.57,1.85,0.74,1.48,0,1.48,1.85,0,7.03,0,1.85,0.37,0,0,0
3Month,0.1,0.42,0.21,2.29,0.21,0,0,0.1,0.31,0,2.6,0.73,0,0.83,0.1,0.73,0.73,1.14,0.31,0.1,0.1,1.14,0.62,1.46,2.6,0,0,0.31,1.25,0.21,0,0,0,0.1,0.31,0.73
22Month,0,0.82,0.14,1.64,0.27,0,0,0.14,0.96,0.55,16.53,0.27,0.14,1.5,0,0.14,0.68,1.78,0,1.37,0,3.14,0.14,5.33,2.46,0.14,0.14,0,5.19,0.55,0.14,0,0,0,0.14,0.55
