stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,111,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.09,1.97,0,5.64,1.41,6.76,0,0,0,0,0,0,0,0.56,0,0.28,0,2.25,13.53,0.85,16.07,0,0.56,0.85,0,1238.44,238.16,2.82,6.2,0,24.24,0.28,0,54.11,0.28,0.56,3.38,0,0
21Day,7.4,0.37,0,8.14,0.37,9.62,0,0.37,0,0,0.74,0.37,0,1.11,0,1.85,0.74,1.48,2.96,2.22,63.27,0,0,3.33,0,294.88,103.23,0.37,0.37,0,9.62,11.1,0,14.06,2.22,4.44,2.96,0,2.59
3Month,0.21,0.31,0,1.56,0.1,0,0.1,0.1,0.1,0.21,0.31,0,0,2.08,0.52,0,0.62,0.31,0.31,0.31,7.8,1.56,0,0.52,0.1,4.16,0.62,2.91,0.42,0,0.1,0,2.81,1.04,0.1,0,0.1,3.85,1.25
22Month,0.14,0.27,0.55,1.23,0,0,0.41,0,0,0.41,0.96,3.28,0,9.43,0.68,0,0.41,0,0,0.68,12.71,0.55,0.41,1.09,0,5.19,0.68,5.19,0.82,0.27,0.41,0.14,4.24,1.64,0,0,0,0,0.68
