stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.69,0,0.85,0,0.85,0,0.28,0,0,3.38,1.97,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,1.48,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0.31,0.42,2.5,0.1,0,0,14.56,0.52,0,6.35,0.83,0.21,17.79,0.1,2.6,0.52,1.14,0.31,0,0.42,1.35,0.52,0,0.31,0.1,0,0.1,0.31,1.87,0.1,0.42,1.46,0.94
22Month,0,0.82,0.96,5.06,0,0,0.14,12.57,4.51,20.5,76.25,0.68,0,9.57,0.55,1.5,1.78,2.05,0,1.5,0.27,0,0,0,0.27,0.41,0.14,0.14,0.55,1.37,0.27,0,0,0.82
