stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,1.69,1.13,0,0.28,0,0.28,0,0,0,0,0,0,0
21Day,1.11,0,0,1.85,9.25,0,2.22,0,0,0,0,0.37,0.37,0,0.74,0.37,2.22,0,0,0.37,0,0.37,0.74,0.37,0.74,0,0.74,0,0,0,0.37,0,0,0
3Month,0,0.21,0.21,3.12,0,0.1,0,0.42,0.1,4.78,0.31,0,2.08,0.42,0.73,1.04,0.42,0.21,0,0.31,0.31,0,0.1,0,0,0,0,0.42,2.81,0,0,0.62,94.66,0.31
22Month,0,0,0.14,0.41,0,0,0.14,0,0.14,2.73,0.14,0.14,0.27,0.14,0,0.14,0,0,0.27,0,0,0,0,0,0,0.27,0.14,0,0.14,0.14,0,0,0,0.14
