stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0.28,0,0,0,0,0,0,0,0,0,0,2.25,0.28,0,18.32,7.61,0,0.28,1.41,0,0,0.56,0,0,0
21Day,6.66,0.74,0.37,0.37,0,0.74,0,0,0,0,0,0,0.74,4.07,0.74,0,11.1,4.44,0,0,0.37,0.74,0,1.48,0.37,0,0
3Month,0,0,0.31,0,0.1,0,0,0,0.42,0.1,0.21,0.21,0,0.52,0,0.1,0,0,0,0,0,0,0.31,0,0,0.21,0.1
22Month,0,0,0.14,0,0,0,0.14,0.14,1.5,0,0,0,0,0.27,0,0.27,0,0,0.14,0,0,0.14,0.55,0,0,0,0
