stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,6,0,0
72hpf,0,0,0,0,0,0.28,0,0,0.28,0.28,0,0
21Day,0,0,0,0,0,1.85,0.37,0,4.07,0.37,0.74,0
3Month,0.31,0.1,0.52,0.1,0.21,0.62,0.1,0.21,0.1,0,0.31,0.1
22Month,0,0,0.27,0,0,0,0,0,0,0,0.41,0
