stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.56,0.28,1.97,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0.37,1.11,0.37,0,0,0,0,9.62,0,0,0,0.37,0,0.37,0.37,0,0,0
3Month,0.1,0.52,0.21,0.1,5.93,0,1.56,13.52,0.31,0.52,0.52,5.72,0.31,0.21,0,0.21,0.31,0.31,0,0.21,0,0.94,2.81,0,0,0.1,1.56,3.33
22Month,0.14,0.14,0,0,13.12,0.27,1.78,7.11,0.41,0.14,0,4.1,0,0,0.14,0,0,0.14,0,0,0.14,0,0.14,0.14,0,0,0,1.78
