stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,1,0,0,0,0,0,0,1,2,2,0,32,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0.85,3.66,3.66,0.56,0,0,0.28
21Day,0.37,0.37,1.48,1.48,0,0,0.37,0,0,0.37,0.37,0.37,2.22,0.37,0.37,0,0
3Month,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0
