stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell
24hpf,0,0,0,1,0,0
72hpf,0,0,0,0,0,1.41
21Day,0.37,0,0,0,0,0.37
22Month,0,0.82,0.14,0,0.14,0
