stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,1.41,0.28,1.69,0,0,0,0,0,0,0,0,0,1.69,0.28,2.54,0,0,0,0,90.19,42.28,0,0.85,3.1,0,0,18.88,0.28,0.28,0.56,0,0,0
21Day,1.11,0,11.1,0.37,1.11,0,0,0,0,0,0,0,0,0.37,1.85,0,5.18,0,0,0,0,41.07,16.28,0,0,1.85,1.11,0.37,3.7,0,0,0.37,0,0,0.37
3Month,0,0.21,6.35,0,0,0.1,0,0.1,0.42,0.31,0,4.99,0.73,0.62,1.98,0.52,3.02,0.62,0,0.21,0.1,1.77,0.1,0.21,0.42,0,0,0.21,0.21,0,0,0,0.94,0.31,0.1
22Month,0,0.41,0.82,0,0,0,0.14,0,0,0.27,0.14,5.47,0.14,0.68,0.41,0.68,3.01,0,0.14,0,0,0.41,0,0,0.14,0.14,0,0.41,0.27,0,0,0,0,0,0.14
