stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,135,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.76,0.28,0,3.95,0.85,4.51,0,0,0,0,0,0,0.56,7.61,0.56,7.89,0.28,0.28,0.28,788.05,121.76,1.41,0.28,8.74,0.28,0,20.29,0,0.28,0.85,0,0,0
21Day,2.22,0.37,0.37,5.18,0,7.77,1.48,0.37,0.37,0.37,0.74,0.37,0.74,3.33,1.85,7.03,0,1.11,0,263.43,43.66,0,0.37,2.96,8.51,0,12.58,1.85,2.22,1.11,0,0,1.85
3Month,0.1,0,0,0,0,0,0,0,0,0.52,0,0,0,0.1,0.1,0.21,0,0,0,0.31,0,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0
22Month,0,0,0,0.14,0,0,0,0,0,0.82,0,0,0,0,0.27,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0.68,0.27,0,0,0,0,0,0
