stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0.56,0,0.28,0,0,0,0
21Day,2.96,0,0.37,0,1.85,0,0.37,0.37,0,0.37,0.37
3Month,0,0.21,0,0.31,0,0.1,0,0,0.1,0,0.1
22Month,0,0.14,0,0,0,0,0,0,0,0,0.14
