stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.28,0.28,0,0,0,0,0,0,0.28,1.69,0,2.54,0,0,0,14.09,6.48,0,0,0.85,0.28,0,0.56,0.28,0,0,0
21Day,1.11,0.37,4.81,1.11,0,0.37,0,0,0.74,0.37,0.74,1.85,0.74,3.33,0,1.11,0,4.81,2.59,0,0,1.11,0,0,0.37,0,0,0,0.74
3Month,0,0.1,2.91,0,0.52,1.14,2.29,1.25,0.42,0.62,0.21,0.83,1.14,0.62,0.42,0,0.1,0,0,0.1,0.1,0.21,0,2.5,0.1,0,0.83,2.18,1.77
22Month,0,0.27,0.41,0,0,0.55,4.65,0.41,0,0.55,0,0,0.27,0.41,0,0,0,0,0,0,0.27,0,0,1.09,0,0,0,0,0.14
