stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Osteoblast,Pancreatic_cell
72hpf,0,0.28,0,0,0.28,0
3Month,0,0,0.1,0.1,0,0.1
22Month,0.14,0,0.55,0,0,0
