stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,1.69,0,0,0,0,0,0,0,0,0,0,4.79,1.41,0.28,0.28,0,0,0.28,0
21Day,4.07,0,0.37,0,0,0,0,0,0,0,0.74,2.59,0.37,0.37,0,0,0,1.11,0
3Month,0,0.21,0,0,0,0.1,0.62,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1
22Month,0,0.27,0,0.14,0.14,0.27,3.01,0,0.14,0,0.14,0,0.14,0,0,0,0.14,0,0
