stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,1.41,0,3.1,14.37,5.07,0.56,0,0.56,0,0,0,0,0,0.85,10.15,0.28,5.92,0,0.28,0.28,810.03,52.99,1.97,4.79,0,7.89,0,0,6.76,0.85,0.28,0.56,0,0,0
21Day,2.96,0.37,1.11,6.29,8.14,5.92,0,0,0.74,0,1.48,0,1.11,1.85,0.74,2.59,2.22,4.81,0.37,0.74,0,271.2,12.21,1.11,8.14,0,2.59,7.03,0.74,5.92,0,4.81,0.37,0,0,0.74
3Month,0,0.1,0,0.83,1.14,0,0,0,0.31,0.1,1.35,0.1,0,0.52,0.1,0.31,0.62,0.31,0,0,0,4.37,0.21,2.81,1.77,0,0,0,4.37,0.21,0,0,0,0.1,0.21,0
22Month,0,0.14,0,0.68,0.27,0,0,0.14,0.68,0,4.37,0.14,0,0.14,0,0,0.27,1.09,0,0.14,0,2.32,0,4.1,2.19,0.14,0,0,7.52,1.64,0,0,0,0.14,0,0.27
