stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.56,0,0,0,0,1.41,0.56,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0.37,0,1.11,0,1.11,0,0,0,0.37,0.37,0.37,0.37,0,0.37,0,0,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.94,0.1,0,0.21,3.64,0.21,0,0.62,0.1,0.42,0.42,0.94,0.1,0,0.1,0.21,0.1,0,0.21,0,0.21,2.39,0,0,0.31,1.66,0.42
22Month,0,0.14,0.27,0,0,0.14,1.91,0,0,0.14,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0
