stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,3.38,0.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0.37,2.59,0.74,0,0,0,0,0
3Month,0,0.21,0.1,0.62,0.1,0.31,0.1,0.1,0.31,0,0.1,2.29,0.1,9.47,0.1
22Month,0,0,0,0.82,0,0.27,0,0,0,0,0,0.41,0,0,0
