stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.82,0,0,0,0,0,0
21Day,3.33,0,0,0,0,0.37,1.48,0.37,0,0.37,0,0.37,0.37
3Month,3.02,0.1,0,0.31,0.1,0.21,0.62,0,0,0,0,0,0
22Month,0.68,0.14,0.27,0.68,0,0,0.14,0,0.14,0,0.14,0,0
