stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0.56,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0.37,0.37,0,0.37,0
3Month,0,0,0.42,0.1,0.1,0,0.1,0,0.21,0.21,0.21,0.1,0.1,1.04,0.31,0.1,0,0,0.1,0,0.21
22Month,0,0.27,0.68,0,0,0.14,0.14,0.27,3.28,0.14,0.14,0.14,0,0.27,0,0.14,0,0,0,0,0
