stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,29,2,0,18,0,0,0,0,0,0,0,0,0,2,4,1,25,0,0,0,0,9,136,1,0,0,0,0,0,0,0,0,0
72hpf,3.66,0.85,0,3.38,0.28,0.85,0,0,0.28,0,0,0,0,2.82,8.74,0,23.96,0,0.28,5.92,0,111.05,19.17,0.28,0,9.58,0,0,6.2,0,0,0,0
21Day,8.88,1.48,2.22,2.22,0,2.22,0,0,0.37,0.37,0,0,0.74,0.74,1.85,0,23.31,0,0,17.39,0,5.18,3.7,0.37,0.37,8.51,1.48,0,1.85,0.74,0.37,0,0.74
3Month,0,0.1,0.52,1.35,0,0,0.1,0.52,0.1,1.04,0.21,0,0.83,0.31,1.25,0,0.52,0.1,0,0.52,0.1,0,0,0,0.1,0.1,0,0.1,0,0,0,0.31,0.1
22Month,0.14,0.14,0.27,0.68,0,0,0.14,0,0,2.87,0,0.14,0.55,0,0,0.14,0.41,0,0,0.55,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0
