stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,0,0,0,0.28,0,0,0.28,0,0.28,0
21Day,0,0,0,0.37,0,0,0,0,0.74,1.11,0,0,0.37,0,0.37
3Month,0.1,0.21,0.1,0,0.1,0,0.1,0.1,0,0,0.1,0,0.42,0,0.1
22Month,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
