stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,2.22,0.37,1.48,1.48,0,0.37,0,0,0,0,0,7.77,0,0.37,0,1.48,0.74,0,0,0.37,0,1.11,0,0,0.37,0,0,0,0,0,0,0,19.98
3Month,0.1,0,1.98,0,0.42,0,0,1.77,0,1.46,0.73,0,0.62,0.1,0.42,2.08,0.83,0.21,0,0.42,0.31,0.21,0,0,0,0.42,0.62,0.1,0,0,0.21,0.73,68.34
22Month,0,0.55,0.96,0,0.14,0,0.14,7.93,0.68,6.01,1.09,0.82,0.68,0,0.41,12.57,1.64,0,0.14,0.27,0,0.14,0.14,0.14,0,0.14,0.27,0.14,0.14,0.14,0,0,60.67
