stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,97,41,0,202,6,14,0,5,0,0,3,0,27,2,0,0,1,39,113,260,311,0,0,1,6,204,2251,2,0,0,37,0,0,0,0,0,0,21,0,0,0
72hpf,73.28,15.5,0.28,73.84,13.53,49.32,0,5.07,0,0,0.56,0,0,2.25,0,7.89,0.85,62.29,201.52,18.6,162.91,0,32.13,7.05,5.36,491.82,476.04,1.69,5.64,0,146.28,12.68,0,0.28,43.12,4.79,1.13,27.9,0,0,0.28
21Day,118.77,15.54,10.73,425.11,7.4,229.02,0,87.32,0,1.85,9.25,0,0,42.18,9.62,78.44,58.46,27.75,187.58,51.43,281.56,0.37,0.74,38.48,2.59,160.57,187.58,2.59,5.92,0,136.16,48.47,0,2.59,27.75,10.73,12.58,9.25,0.74,0,25.53
3Month,2.5,11.86,10.19,209.49,1.35,0,5.2,7.39,0.21,30.89,42.44,0.1,0,429.69,58.67,10.09,170.17,16.43,57.83,62.41,63.87,18.31,0.52,17.27,18.62,6.03,2.6,7.59,5.51,0,4.06,11.03,0.21,133.14,2.7,0.31,0,1.04,20.49,35.16,39.63
22Month,1.91,16.67,14.07,82.26,0.68,0,8.2,6.29,0,24.46,138.29,24.05,0,1131.05,43.73,27.6,246.93,4.51,20.77,141.71,76.8,1.91,28.7,14.35,1.78,4.37,0.68,11.62,7.65,4.37,4.51,3.69,0,18.99,4.65,5.33,0,0.27,2.73,0,14.48
