stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,3,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,1.69,1.13,0.28,0,0
21Day,0,1.11,0,0,0.37,0,0.37,1.48,0,0.37,0,0,0,0
3Month,0,0.31,0.31,0,0,0.42,0.1,0,0,0,0,0,0.1,0
22Month,0,0,0,0.27,0,0.14,0,0,0.14,0,0,0,0,0.14
