stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,3.38,0,0.28,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,3.33,0.74,0,0,0,0,0,0,0.37,1.48,2.22,0,3.33,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.31,0.31,44.94,0,0.52,0.62,0.83,2.5,0,12.17,4.16,0.62,4.78,0.83,3.12,4.89,1.46,0.21,0,1.04,0.42,0.1,0,0.73,0.21,0,0.52,2.29,0.62,0.42,4.26
22Month,0.55,0.14,5.47,0,0,0.27,0.55,2.73,0.27,4.65,0.96,0.68,10.39,0.14,0.41,1.5,0.82,0,0.14,0.55,0,0.27,0,0.55,0.41,0,0.27,0.27,0.14,0,0.68
