stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,1,0,0,0,1,4,0,0,1,0
72hpf,0,0.28,0,0,0,0,2.82,0,0,0.28,0.28
21Day,0,2.59,0,0.37,0,0,5.92,0,0,0,0
3Month,0,0.42,0,0,0.1,0,0,0.1,0,0,0
22Month,0.14,0,0.41,0,0,0,0,0,0.14,0,0
