stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,4.23,0,0,0,0,0,0,0
21Day,2.22,0.74,4.44,2.59,1.85,0,0.37,0,0.74,0.37,3.33,0,0.74,3.7,1.11,4.44,0,0.37,0,5.55,3.33,0.74,0.37,3.7,227.54,0,0,0.37,1.48,0,0,0
3Month,0,0.31,1.04,0,0.1,0.42,0.1,0,10.92,0.62,0,1.14,0.31,0.62,0.42,0.42,0.1,0.42,0.31,0,0,0,0.1,0,85.19,0.62,0.73,0,0,0.42,0.42,0.1
22Month,0,0,0.14,0,0,0,0,1.78,11.34,0,0,0.14,0,0.14,0.14,0.41,0,0,0,0,0,0,0,0,16.26,0,0.14,0,0,0,0,0
