stage,Cardiomyocyte,Epithelial_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.13,0
21Day,0,0.37,0,0,0.37,0,0
3Month,0,0.42,0.1,0.1,0,0,0.1
