stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0.28,0,0
21Day,1.85,0,0,0.37,0,0,0
3Month,0.21,0.21,0,0.1,0,0.1,0.1
22Month,0,0.41,0.14,0,0,0,0.14
