stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.83,6.55,1.25,0.1,7.91,1.56,0,7.07,2.08,0.1,287.19,0.31,1.98,1.66,2.08,0.52,0,1.14,0.62,0.1,0.1,0.42,0.31,0,2.29,1.46,0.1,0.42,1.35,1.46
22Month,0,0.41,0.68,1.23,0,0,6.29,0.41,0.68,11.34,0.41,0,196.23,0,0,0.41,0.68,0.14,0.27,0.27,0,0,0,0.68,0.41,0.14,0.27,0.55,0.14,0,0,0.41
