stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.28,0,0,0.28,0,0,0,0,25.93,13.81,0.56,0,0,1.41,5.92,3.1,0,0
21Day,0,0,0.74,0.37,0,0,0.37,0.37,0.37,0.37,0,0,0,0,12.21,0.74,0.37,0.74,0,4.44,6.66,3.33,0,0
3Month,0,0,1.04,0.52,0.1,0.21,0,0.1,0.21,0.21,0.1,0,0,0.1,0.1,0,0,0,0,0.62,0.1,0,0.21,4.16
22Month,0,0,0,0.96,0,0,0,0,0,0.14,0,0.14,0.14,0,0.27,0,0,0,0.14,0.55,0,0,0,0
