stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,3.1,0.56,0.28,0,0,0
21Day,0,1.85,0,0,0,0,1.11,0,1.85,0,0.37,0,1.11,0,0,0.74,0.37,0
3Month,0.31,0.1,0.1,0,0.62,0,0,0.21,0,0,0,0.1,0,0,0,0,0.52,0.21
22Month,0.14,0,0.14,0.14,1.23,0.27,0,0.27,0.96,0.14,0,0.14,0,0,0,0,0.14,0
