stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,14.94,0,0,0,0,1.13,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0.37,0.37,0,0,0,0.74,0,0,0.37,4.44,0,2.96,27.38,0,0,0,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37
3Month,0,0,0.1,1.35,0,0.1,0,0.1,2.29,0,1.14,0.62,0.52,0.52,0.42,63.24,0.31,0.1,0.31,0.1,0,0.21,0,0,0.62,0.42,0.1,0,0.1,0.31
22Month,0,0.55,0,1.37,0,0.14,0.14,0,2.19,0.55,1.64,0.41,0.55,0.14,0.27,38.81,0.55,0.14,0,0,0,0,0.14,0.14,0,0.27,0,0,0,0.14
