stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0,0,0
3Month,0.1,0.21,0.1,0.1,1.14,0.52,0.31,0.1,0.21,0,0,0,0,0,0,0,0.1,0.21,0.1
22Month,0,0,0,0,0,0.41,0,0,0,0,0,0,0.14,0,0.41,0,0,0,0
