stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.94,1.14,0.1,0.21,1.25,0.52,0.1,0.31,0.1,0.21,0,0.21,0.1,0.1,2.91,0,0,0.1,0.1,0.21
22Month,0.27,0.55,0.41,0.27,4.51,0.27,0,0.55,0,0,0.14,0,0,0,0.14,0,0.14,0,0,0.14
