stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8,1,0,9,1,0,0,0,0,1,0,0,0,0,1,2,4,24,0,0,1,17,258,0,0,1,0,0,0,0,0,0,0,0
72hpf,9.3,2.25,0,8.46,1.97,3.66,0.28,0,0,0,0,0,0.28,0,1.69,8.74,1.13,24.52,0,0.85,0,461.95,169.39,0.28,2.82,16.91,0.28,0.28,27.06,0,1.69,0.28,0,0
21Day,5.92,0.74,0.37,14.06,0.74,5.18,2.59,0,0,0,0,0,2.96,0.74,1.85,4.44,1.48,38.85,0,8.14,0,140.6,71.41,0.37,4.07,13.32,4.07,0,11.1,0.74,5.18,0.37,0,1.48
3Month,0,0.52,0.1,2.18,0,0,0.31,0.21,0.31,0,1.25,0.31,0.1,0.21,0.1,0.1,0.31,2.5,0.21,0.52,0.1,0.31,0.62,0,0.1,0.21,0.1,2.08,0,0,0,0,0.42,0.21
22Month,0,0.27,0,0.41,0,0,0,0,0.27,0,1.5,0,0,0,0,0,0,1.78,0.41,0.27,0,0.14,0,0.41,0,0,0,0.41,0.68,0.27,0,0,0,0.14
