stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0
3Month,0.21,0.1,0.1,0.1,0.1,0.21,0.31,0.1,0.21,0,0.1,0.31,0,0,17.79,0.1
